region,producto,cantidad_total
Region Centro Oriente,MANGOSON,83105
Region Centro Oriente,MANZALOCA,82590
Region Centro Oriente,NARANJITA,82514
Region Centro Oriente,COLOMBIANITA,78059
Region Caribe,NARANJITA,47274
Region Caribe,COLOMBIANITA,44702
Region Caribe,MANGOSON,44699
Region Pacifico,MANGOSON,43859
Region Pacifico,COLOMBIANITA,42949
Region Caribe,MANZALOCA,42727
Region Eje Cafetero - Antioquia,COLOMBIANITA,41966
Region Eje Cafetero - Antioquia,NARANJITA,41405
Region Pacifico,NARANJITA,39984
Region Pacifico,MANZALOCA,39871
Region Eje Cafetero - Antioquia,MANGOSON,39231
Region Eje Cafetero - Antioquia,MANZALOCA,38089
Region Centro Sur,NARANJITA,29775
Region Centro Sur,MANZALOCA,28327
Region Centro Sur,MANGOSON,28248
Region Centro Sur,COLOMBIANITA,27858
Region Llano,MANZALOCA,16444
Region Llano,NARANJITA,15595
Region Llano,COLOMBIANITA,14430
Region Llano,MANGOSON,14054
