id_registro,id_departamento,id_municipio,id_producto,fecha,cantidad,estado,id_region,validacion,causa_modificacion
10001,5723,5723009,2,2024-08-21,180,F,4,modificado,A: fecha 2024-8-21 -> 2024-08-21. Normalization by format and calendar.
10002,5725,5725007,2,2024-01-19,133,F,2,valido,
10003,5719,5719016,3,2024-11-24,182,F,6,valido,
10004,5720,5720005,3,2024-01-14,69,F,4,valido,
10005,5776,5776007,4,2024-09-18,55,F,6,valido,
10006,5785,5785014,2,2024-03-09,73,F,5,valido,
10007,5715,5715112,4,2024-03-08,116,F,2,valido,
10008,5715,5715035,1,2024-12-19,60,F,2,valido,
10009,5773,5773036,4,2024-07-22,162,F,3,valido,
10010,5752,5752030,3,2024-12-14,22,F,6,valido,
10011,5717,5717007,3,2024-08-03,12,F,1,valido,
10012,5713,5713024,2,2024-03-19,88,F,4,valido,
10013,5715,5715043,2,2024-07-13,157,F,2,valido,
10014,5715,5715078,4,2024-12-09,198,F,2,modificado,C: cantidad -198 -> 198. Remove the negative sign with abs().
10015,5719,5719006,4,2024-01-28,7,F,6,valido,
10016,5770,5770026,3,2024-02-02,113,F,4,valido,
10017,5705,5705049,4,2024-07-21,21,F,1,valido,
10018,5794,5794005,4,2024-06-19,145,F,5,valido,
10019,5768,5768031,3,2024-04-24,114,F,2,valido,
10020,5708,5708002,4,2024-12-16,13,F,4,valido,
10021,5713,5713029,3,2024-08-20,162,F,4,valido,
10022,5717,5717002,4,2024-12-05,12,F,1,valido,
10023,5768,5768083,4,2024-12-17,15,F,2,valido,
10024,5725,5725017,3,2024-12-07,142,F,2,valido,
10025,5768,5768061,1,2024-09-04,89,F,2,valido,
10026,5794,5794003,3,2024-07-10,38,F,5,valido,
10027,5752,5752024,3,2024-02-18,79,F,6,valido,
10028,5727,5727010,4,2024-05-07,32,F,6,valido,
10029,5750,5750008,3,2024-06-08,79,F,5,valido,
10030,5776,5776013,4,2024-05-04,11,F,6,valido,
10031,5713,5713002,1,2024-04-14,148,F,4,valido,
10032,5752,5752051,1,2024-05-27,70,F,6,valido,
10033,5744,5744002,2,2024-07-09,147,F,4,valido,
10034,5727,5727020,1,2024-11-13,2,F,6,valido,
10035,5744,5744010,4,2024-04-21,8,F,4,valido,
10036,5741,5741017,4,2024-11-25,9,F,3,valido,
10037,5715,5715119,1,2024-04-12,99,F,2,valido,
10038,5705,5705008,2,2024-06-02,142,F,1,valido,
10039,5754,5754030,2,2024-03-14,32,F,2,valido,
10040,5725,5725021,4,2024-07-02,149,F,2,valido,
10041,5725,5725087,3,2024-05-12,148,F,2,valido,
10042,5715,5715026,4,2024-09-12,82,F,2,valido,
10043,5776,5776005,2,2024-11-11,9,F,6,valido,
10044,5768,5768050,3,2024-03-04,92,F,2,valido,
10045,5705,5705107,2,2024-03-06,7,F,1,valido,
10046,5725,5725024,2,2024-02-03,25,F,2,valido,
10047,5741,5741035,1,2024-07-19,12,F,3,valido,
10048,5720,5720016,2,2024-06-04,11,F,4,valido,
10049,5768,5768065,4,2024-08-20,111,F,2,valido,
10050,5719,5719008,3,2024-12-04,151,F,6,valido,
10051,5715,5715060,1,2024-06-16,53,F,2,valido,
10052,5705,5705105,4,2024-06-20,57,F,1,valido,
10053,5725,5725076,4,2024-10-05,123,F,2,valido,
10054,5776,5776017,3,2024-05-21,164,F,6,valido,
10055,5705,5705031,1,2024-03-19,108,F,1,valido,
10056,5713,5713019,4,2024-08-13,131,F,4,valido,
10057,5752,5752059,4,2024-02-21,47,F,6,valido,
10058,5713,5713004,2,2024-08-26,63,F,4,valido,
10059,5773,5773035,2,2024-08-13,12,F,3,valido,
10060,5705,5705063,4,2024-08-25,196,F,1,valido,
10061,5715,5715059,1,2024-01-05,11,F,2,valido,
10062,5725,5725019,1,2024-06-24,38,F,2,valido,
10063,5725,5725004,1,2024-08-19,6,F,2,valido,
10064,5715,5715093,1,2024-05-21,114,F,2,valido,
10065,5768,5768009,2,2024-01-11,164,F,2,valido,
10066,5768,5768016,1,2024-08-03,116,F,2,valido,
10067,5720,5720017,1,2024-08-17,30,F,4,valido,
10068,5715,5715116,4,2024-04-13,176,F,2,valido,
10069,5727,5727019,4,2024-03-03,171,F,6,valido,
10070,5719,5719009,3,2024-05-19,122,F,6,valido,
10071,5754,5754031,4,2024-10-23,170,F,2,valido,
10072,5705,5705107,2,2024-08-06,195,F,1,valido,
10073,5794,5794006,1,2024-11-01,95,F,5,valido,
10074,5776,5776004,2,2024-09-17,40,F,6,valido,
10075,5725,5725081,4,2024-06-27,53,F,2,valido,
10076,5708,5708022,1,2024-08-25,101,F,4,valido,
10077,5794,5794007,1,2024-03-19,151,F,5,valido,
10078,5768,5768060,1,2024-02-10,39,F,2,valido,
10079,5713,5713037,1,2024-07-26,74,F,4,valido,
10080,5711,5711001,2,2024-02-14,6,F,2,valido,
10081,5768,5768029,1,2024-12-16,156,F,2,valido,
10082,5776,5776020,4,2024-10-12,131,F,6,valido,
10083,5705,5705062,1,2024-11-20,181,F,1,valido,
10084,5713,5713045,1,2024-09-26,77,F,4,valido,
10085,5773,5773006,2,2024-10-09,27,F,3,valido,
10086,5715,5715076,1,2024-03-14,145,F,2,valido,
10087,5705,5705055,2,2024-05-28,184,F,1,valido,
10088,5786,5786001,1,2024-06-06,8,F,3,valido,
10089,5773,5773011,1,2024-11-20,12,F,3,valido,
10090,5770,5770010,4,2024-01-04,191,F,4,valido,
10091,5741,5741029,3,2024-02-14,47,F,3,valido,
10092,5744,5744011,3,2024-06-11,57,F,4,valido,
10093,5785,5785019,1,2024-08-09,75,F,5,valido,
10094,5741,5741021,4,2024-03-08,86,F,3,valido,
10095,5708,5708019,3,2024-09-18,112,F,4,valido,
10096,5713,5713042,4,2024-01-09,92,F,4,valido,
10097,5720,5720003,4,2024-01-14,199,F,4,valido,
10098,5768,5768057,3,2024-07-08,111,F,2,valido,
10099,5766,5766001,2,2024-09-16,186,F,1,valido,
10100,5725,5725050,4,2024-07-01,67,F,2,valido,
10101,5752,5752011,3,2024-02-17,30,F,6,valido,
10102,5708,5708009,2,2024-05-27,166,F,4,valido,
10103,5725,5725092,1,2024-05-28,126,F,2,valido,
10104,5725,5725110,4,2024-07-11,161,F,2,valido,
10105,5708,5708019,1,2024-05-01,138,F,4,valido,
10106,5776,5776014,3,2024-12-07,34,F,6,valido,
10107,5725,5725047,4,2024-05-12,57,F,2,valido,
10108,5754,5754001,3,2024-01-11,136,F,2,valido,
10109,5768,5768086,2,2024-08-26,44,F,2,valido,
10110,5705,5705008,2,2024-03-23,194,F,1,valido,
10111,5713,5713032,3,2024-05-02,102,F,4,valido,
10112,5754,5754033,3,2024-05-20,114,F,2,valido,
10113,5773,5773013,3,2024-01-28,174,F,3,valido,
10114,5752,5752022,1,2024-11-19,23,F,6,valido,
10115,5747,5747013,4,2024-04-08,10,F,4,valido,
10116,5768,5768029,2,2024-07-05,42,F,2,valido,
10117,5705,5705098,3,2024-02-19,121,F,1,valido,
10118,5725,5725092,2,2024-02-24,69,F,2,valido,
10119,5773,5773046,1,2024-05-23,34,F,3,valido,
10120,5766,5766008,3,2024-05-15,192,F,1,valido,
10121,5715,5715030,1,2024-01-21,171,F,2,valido,
10122,5705,5705117,1,2024-08-07,133,F,1,valido,
10123,5752,5752035,4,2024-08-14,57,F,6,valido,
10124,5768,5768055,3,2024-08-16,193,F,2,valido,
10125,5752,5752030,4,2024-05-08,173,F,6,valido,
10126,5715,5715043,1,2024-05-17,100,F,2,valido,
10127,5741,5741014,2,2024-07-18,78,F,3,valido,
10128,5725,5725102,2,2024-05-13,195,F,2,valido,
10129,5715,5715060,1,2024-06-07,182,F,2,valido,
10130,5781,5781002,3,2024-02-25,178,F,5,valido,
10131,5741,5741032,1,2024-03-27,73,F,3,valido,
10132,5705,5705009,1,2024-11-16,152,F,1,valido,
10133,5720,5720001,2,2024-01-07,146,F,4,valido,
10134,5776,5776032,3,2024-02-18,142,F,6,valido,
10135,5752,5752015,3,2024-09-20,71,F,6,valido,
10136,5754,5754010,2,2024-05-15,49,F,2,valido,
10137,5705,5705042,2,2024-04-02,93,F,1,valido,
10138,5799,5799003,2,2024-07-14,197,F,5,valido,
10139,5754,5754020,3,2024-03-25,125,F,2,valido,
10140,5741,5741028,2,2024-08-05,188,F,3,valido,
10141,5747,5747030,3,2024-12-12,157,F,4,valido,
10142,5776,5776021,1,2024-09-04,136,F,6,valido,
10143,5715,5715025,3,2024-05-14,21,F,2,valido,
10144,5766,5766006,1,2024-05-14,14,F,1,valido,
10145,5768,5768061,2,2024-09-18,165,F,2,valido,
