id_registro,departamento,id_departamento,municipio,id_municipio,producto,id_producto,fecha,cantidad,precio,venta,estado,id_region,region,validacion,causa_modificacion
10001,Cordoba,5723,La Apartada,5723009,MANZALOCA,2,2024-08-21,180,1000,180000,F,4,Region Caribe,modificado,A: fecha 2024-8-21 -> 2024-08-21. Completar mes con cero.
10002,Cundinamarca,5725,Beltran,5725007,MANZALOCA,2,2024-01-19,133,1000,133000,F,2,Region Centro Oriente,valido,
10003,Cauca,5719,La Sierra,5719016,MANGOSON,3,2024-11-24,182,900,163800,F,6,Region Pacifico,valido,
10004,Cesar,5720,Bosconia,5720005,MANGOSON,3,2024-01-14,69,900,62100,F,4,Region Caribe,valido,
10005,Valle del Cauca,5776,Bugalagrande,5776007,NARANJITA,4,2024-09-18,55,600,33000,F,6,Region Pacifico,valido,
10006,Casanare,5785,San Luis de Gaceno,5785014,MANZALOCA,2,2024-03-09,73,1000,73000,F,5,Region Llano,valido,
10007,Boyaca,5715,Topaga,5715112,NARANJITA,4,2024-03-08,116,600,69600,F,2,Region Centro Oriente,valido,
10008,Boyaca,5715,Floresta,5715035,COLOMBIANITA,1,2024-12-19,60,1200,72000,F,2,Region Centro Oriente,valido,
10009,Tolima,5773,Rio Blanco,5773036,NARANJITA,4,2024-07-22,162,600,97200,F,3,Region Centro Sur,valido,
10010,Nariño,5752,La Florida,5752030,MANGOSON,3,2024-12-14,22,900,19800,F,6,Region Pacifico,valido,
10011,Caldas,5717,La Dorada,5717007,MANGOSON,3,2024-08-03,12,900,10800,F,1,Region Eje Cafetero - Antioquia,valido,
10012,Bolivar,5713,Norosi,5713024,MANZALOCA,2,2024-03-19,88,1000,88000,F,4,Region Caribe,valido,
10013,Boyaca,5715,Iza,5715043,MANZALOCA,2,2024-07-13,157,1000,157000,F,2,Region Centro Oriente,valido,
10014,Boyaca,5715,Sachica,5715078,NARANJITA,4,2024-12-09,198,600,118800,F,2,Region Centro Oriente,modificado,C: cantidad -198 -> 198; retirar signo negativo.
10015,Cauca,5719,Cajibio,5719006,NARANJITA,4,2024-01-28,7,600,4200,F,6,Region Pacifico,valido,
10016,Sucre,5770,Tolu Viejo,5770026,MANGOSON,3,2024-02-02,113,900,101700,F,4,Region Caribe,valido,
10017,Antioquia,5705,Giraldo,5705049,NARANJITA,4,2024-07-21,21,600,12600,F,1,Region Eje Cafetero - Antioquia,valido,
10018,Guainia,5794,Mapiripana,5794005,NARANJITA,4,2024-06-19,145,600,87000,F,5,Region Llano,valido,
10019,Santander,5768,Enciso,5768031,MANGOSON,3,2024-04-24,114,900,102600,F,2,Region Centro Oriente,valido,
10020,Atlantico,5708,Barranquilla,5708002,NARANJITA,4,2024-12-16,13,600,7800,F,4,Region Caribe,valido,
10021,Bolivar,5713,San Estanislao,5713029,MANGOSON,3,2024-08-20,162,900,145800,F,4,Region Caribe,valido,
10022,Caldas,5717,Anserma,5717002,NARANJITA,4,2024-12-05,12,600,7200,F,1,Region Eje Cafetero - Antioquia,valido,
10023,Santander,5768,Valle de San Jose,5768083,NARANJITA,4,2024-12-17,15,600,9000,F,2,Region Centro Oriente,valido,
10024,Cundinamarca,5725,Chia,5725017,MANGOSON,3,2024-12-07,142,900,127800,F,2,Region Centro Oriente,valido,
10025,Santander,5768,Piedecuesta,5768061,COLOMBIANITA,1,2024-09-04,89,1200,106800,F,2,Region Centro Oriente,valido,
10026,Guainia,5794,Inirida,5794003,MANGOSON,3,2024-07-10,38,900,34200,F,5,Region Llano,valido,
10027,Nariño,5752,Guaitarilla,5752024,MANGOSON,3,2024-02-18,79,900,71100,F,6,Region Pacifico,valido,
10028,Choco,5727,Certegui,5727010,NARANJITA,4,2024-05-07,32,600,19200,F,6,Region Pacifico,valido,
10029,Meta,5750,El Castillo,5750008,MANGOSON,3,2024-06-08,79,900,71100,F,5,Region Llano,valido,
10030,Valle del Cauca,5776,Dagua,5776013,NARANJITA,4,2024-05-04,11,600,6600,F,6,Region Pacifico,valido,
10031,Bolivar,5713,Altos del Rosario,5713002,COLOMBIANITA,1,2024-04-14,148,1200,177600,F,4,Region Caribe,valido,
10032,Nariño,5752,Samaniego,5752051,COLOMBIANITA,1,2024-05-27,70,1200,84000,F,6,Region Pacifico,valido,
10033,La Guajira,5744,Barrancas,5744002,MANZALOCA,2,2024-07-09,147,1000,147000,F,4,Region Caribe,valido,
10034,Choco,5727,Medio San Juan,5727020,COLOMBIANITA,1,2024-11-13,2,1200,2400,F,6,Region Pacifico,valido,
